maaned;nyt_laan;renter;gaeld
2026-09;2000;6,67;2006,67
2026-10;2000;13,36;4020,03
2026-11;2000;20,07;6040,10
2026-12;2000;26,80;8066,90
2027-01;2000;33,56;10100,46
2027-02;2000;40,33;12140,79
2027-03;2000;47,14;14187,93
2027-04;2000;53,96;16241,89
2027-05;2000;60,81;18302,70
2027-06;2000;67,68;20370,38
2027-07;2000;74,57;22444,95
2027-08;2000;81,48;24526,43
2027-09;2000;88,42;26614,85
2027-10;2000;95,38;28710,23
2027-11;2000;102,37;30812,60
2027-12;2000;109,38;32921,98
2028-01;2000;116,41;35038,39
2028-02;2000;123,46;37161,85
2028-03;2000;130,54;39292,39
2028-04;2000;137,64;41430,03
2028-05;2000;144,77;43574,80
2028-06;2000;151,92;45726,72
2028-07;2000;159,09;47885,81
2028-08;2000;166,29;50052,10
2028-09;2000;173,51;52225,61
2028-10;2000;180,75;54406,36
2028-11;2000;188,02;56594,38
2028-12;2000;195,31;58789,69
2029-01;2000;202,63;60992,32
2029-02;2000;209,97;63202,29
2029-03;2000;217,34;65419,63
2029-04;2000;224,73;67644,36
2029-05;2000;232,15;69876,51
2029-06;2000;239,59;72116,10
