scenario_id;data_type;split;monthly_loan_dkk;study_months;initial_debt_dkk;target_debt_dkk
0;synthetic;train;339;66;65457;106597.51
1;synthetic;train;1667;37;85860;162856.43
2;synthetic;train;326;59;20147;45805.16
3;synthetic;test;357;45;97563;130682.86
4;synthetic;train;2795;64;71748;288466.16
5;synthetic;train;2987;44;12811;156604.12
6;synthetic;test;3191;38;50035;186253.47
7;synthetic;train;1409;16;92677;120938.79
8;synthetic;test;2969;55;40241;227815.48
9;synthetic;test;3126;46;44341;207320.2
10;synthetic;train;1711;20;9213;45290.42
11;synthetic;test;2107;75;6381;187982.42
12;synthetic;test;3261;70;27676;292411.42
13;synthetic;train;2400;14;75809;113876.7
14;synthetic;train;2661;30;6792;91595.67
15;synthetic;train;3688;38;89313;250991.71
16;synthetic;train;2576;66;75990;285103.29
17;synthetic;train;739;31;46672;75916.44
18;synthetic;test;1891;4;54657;63016.65
19;synthetic;test;586;63;68305;125378.54
20;synthetic;test;3505;63;36664;291292.89
21;synthetic;train;3676;35;32582;173286.16
22;synthetic;train;3441;32;7634;124873.89
23;synthetic;train;1784;67;18947;157803.57
24;synthetic;test;1759;11;68648;90947.78
25;synthetic;train;1807;28;22691;78023.42
26;synthetic;train;2145;57;94031;248525.31
27;synthetic;test;1661;14;83268;111083.01
28;synthetic;train;2393;59;9722;168091.53
29;synthetic;test;1186;65;83226;189529.57
30;synthetic;train;1653;68;84170;231892.1
31;synthetic;train;1472;76;28833;164633.1
32;synthetic;test;910;58;63676;135547.12
33;synthetic;train;531;70;19991;67160.55
34;synthetic;test;3058;1;79685;83018.81
35;synthetic;train;2990;66;66485;303871.5
36;synthetic;train;1791;60;27712;152973.56
37;synthetic;test;2966;47;45892;204807.74
38;synthetic;train;1921;48;3726;104518.46
39;synthetic;train;531;21;11453;23851.13
40;synthetic;train;1670;57;65443;184103.36
41;synthetic;train;1790;72;56524;217700.45
42;synthetic;train;300;65;57460;93141.49
43;synthetic;train;2411;48;55358;190638.09
44;synthetic;train;344;47;79492;110480.16
45;synthetic;train;1155;51;3081;67956.58
46;synthetic;train;1320;37;98274;163211.41
47;synthetic;train;815;24;40853;64645.85
48;synthetic;train;3772;72;3469;311800.94
49;synthetic;train;888;70;5830;77472.18
50;synthetic;train;3251;24;91766;180755.33
51;synthetic;train;1115;37;66192;118840.51
52;synthetic;test;479;47;50502;83461.72
53;synthetic;train;2978;84;66432;376951.54
54;synthetic;train;1554;35;41796;104739.07
55;synthetic;train;3093;27;16697;105789.86
56;synthetic;train;1270;2;10614;13237.59
57;synthetic;train;342;65;72236;114538.45
58;synthetic;train;2647;39;71706;192058.13
59;synthetic;train;612;76;50104;117533.1
60;synthetic;train;3564;13;49733;99359.37
61;synthetic;train;2646;42;44616;170780.4
62;synthetic;train;631;33;23876;48693.44
63;synthetic;train;1145;58;63028;149820.39
64;synthetic;train;2307;31;95970;181860.61
65;synthetic;train;333;29;11800;23150.74
66;synthetic;test;1287;81;36626;167805.59
67;synthetic;train;3452;42;69971;236331.16
68;synthetic;train;1738;23;76423;124114.78
69;synthetic;test;3682;23;77875;172227.24
70;synthetic;train;992;61;78901;163862.1
71;synthetic;train;1707;62;27224;151201.32
72;synthetic;train;301;9;44702;48815.64
73;synthetic;train;3429;11;45578;85759.16
74;synthetic;train;2675;17;72162;123225.87
75;synthetic;test;1162;68;57922;161448.8
76;synthetic;train;2078;15;46321;80706.14
77;synthetic;train;3255;2;75852;82901.11
78;synthetic;train;1872;61;66330;208077.38
79;synthetic;train;1641;26;62731;113040.78
80;synthetic;train;532;50;9469;40172.36
81;synthetic;train;2469;53;8444;153417.22
82;synthetic;test;2878;35;78689;195417.72
83;synthetic;train;158;16;49399;54701.36
84;synthetic;train;715;28;66060;93528.53
85;synthetic;train;549;57;10340;47014.85
86;synthetic;train;665;50;79349;129950.26
87;synthetic;test;648;26;92512;118500.5
88;synthetic;train;3760;49;44704;253066.72
89;synthetic;test;1318;52;59092;145203.5
90;synthetic;test;1120;2;15149;17501.37
91;synthetic;test;3642;36;48230;193889.06
92;synthetic;test;1775;66;6495;139319.45
93;synthetic;train;314;24;48666;60570.41
94;synthetic;train;2550;42;44117;165871.94
95;synthetic;train;3563;14;57173;111046.88
96;synthetic;train;2060;40;80760;180540.97
97;synthetic;train;1014;81;33157;137841.01
98;synthetic;test;2071;44;84978;196674.38
99;synthetic;test;1667;24;2161;44059.08
100;synthetic;train;1381;70;991;110289.22
101;synthetic;train;3405;46;14025;185880.94
102;synthetic;train;1148;47;31569;95415.28
103;synthetic;train;412;56;67224;106398.93
104;synthetic;train;451;24;24387;37701.34
105;synthetic;train;2505;62;72700;262139.56
106;synthetic;train;3567;65;32068;299083.83
107;synthetic;train;409;52;91602;132165.13
108;synthetic;train;3705;20;23645;102021.37
109;synthetic;train;142;12;55485;59486.92
110;synthetic;train;2077;32;30995;104726.42
111;synthetic;test;3153;39;80825;223547.76
112;synthetic;test;3660;27;20274;125747.63
113;synthetic;train;3621;54;29092;249379.81
114;synthetic;train;2363;44;90554;216988.91
115;synthetic;test;972;84;93605;218152.4
116;synthetic;train;686;14;53316;65706.32
117;synthetic;train;170;26;43510;52066.79
118;synthetic;test;3683;84;15154;377574.76
119;synthetic;test;3388;8;74861;104394.48
120;synthetic;train;3213;75;22342;302844.33
121;synthetic;train;3395;10;51886;88220.38
122;synthetic;train;1784;27;2211;52901.02
123;synthetic;train;2933;29;66166;162314.87
124;synthetic;test;1558;32;88630;151283.92
